,data_point_id,annotator_id,label,original_text,category
215,215,NA,NA,"[""Without limitation to the foregoing, Arizona shall not file applications to register any Company Licensed IP or assist any person in doing the same, or contest, challenge, or otherwise take any action adverse to the Company's and its Affiliates' ownership of or rights in and to the Company Licensed IP, or assist any person in doing the same."", ""Without limitation to the foregoing, the Company shall not file applications to register any Arizona Licensed IP or assist any person in doing the same, or contest, challenge, or otherwise take any action adverse to Arizona's and its Affiliates' ownership of or rights in and to the Arizona Licensed IP, or assist any person in doing the same.""]",Covenant Not To Sue
216,216,NA,NA,"[""FOR CLARITY AND NOTWITHSTANDING THE PROVISIONS OF THE FIRST SENTENCE OF THIS SECTION 13.5, ROYALTIES AND MILESTONES PAYABLE TO CYTODYN IN CONNECTION WITH VYERA'S COMMERCIALIZATION OF LICENSED PRODUCTS IN ACCORDANCE WITH THE TERMS OF THIS AGREEMENT COULD CONSTITUTE DIRECT DAMAGES TO THE EXTENT AWARDED IN ACCORDANCE WITH ARTICLE 12."", ""EXCEPT FOR A PARTY'S OBLIGATIONS SET FORTH IN THIS ARTICLE 13, AND ANY BREACH OF ARTICLE 10 (CONFIDENTIALITY), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY (OR THE OTHER PARTY'S AFFILIATES OR SUBLICENSEES) IN CONNECTION WITH THIS AGREEMENT FOR LOST REVENUE, LOST PROFITS, LOST ROYALTIES, LOST SAVINGS, LOSS OF USE, DAMAGE TO GOODWILL, OR ANY CONSEQUENTIAL, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR INDIRECT DAMAGES IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY, INCLUDING CONTRACT, NEGLIGENCE, OR STRICT LIABILITY, EVEN IF THAT PARTY HAS BEEN PLACED ON NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.""]",Cap On Liability
217,217,NA,NA,"['Subject to the conditions and limitations set forth in this Agreement, the Licensor hereby grants to the Licensee, and the Licensee hereby accepts, (i) an exclusive, fee-bearing, non-transferable distribution right of the Licensed Product in the Territory during the Term (the ""Distribution""), (ii) an exclusive, royalty-free, non-transferable license to the Licensor\'s Patents and Trademarks to register, import, export, store, handle, commercialize, have commercialized, promote, have promoted, distribute, have distributed, sell and have sold the Licensed Product during the Term, without the right to sublicense (the ""License""), and (iii) an exclusive, royalty-bearing, non-transferable license to the Intellectual Property (except Patents and Trademarks ) and the Developed Intellectual Property and a right to obtain the technology transfer of the Know-How to manufacture the Licensed Product in the Territory during the Term, pursuant to the conditions set forth in Article 2.3 below and elsewhere in this Agreement (the ""Technology Transfer""), all to register, import, export, store, handle, commercialize, have commercialized, promote, have promoted, distribute, have distributed, manufacture, have manufactured, sell and have sold the Licensed Product during the Term, without the right to sublicense.', 'During the entire validity of this Agreement, Licensor hereby grants to License an exclusive and royaltyfree right to use the Trademark in']",Exclusivity
218,218,NA,NA,"[""Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark solely and exclusively as a component of Licensee's own corporate name and in connection with marketing the investment management, investment consultation and investment advisory services that Investment Advisor may provide to Licensee.""]",Non-Transferable License
219,219,NA,NA,"[""Company's audit: at any time during the Term, the Repairer may:     (i) audit the management and the performance of the Company's maintenance activities which are still under Company'sresponsibility; and/or,     (ii) arrange for operational visits, in order to check that the Company complies with its obligations under this Agreement; and/or,     (iii) investigate in any place, with the assistance of the Company, the causes of any abnormal removal or failure rate of any Itemand/or Abnormal Use."", 'The Repairer shall give a Notice to the Company no later than [*****] prior to such audit or operational visit.', ""The cost of any such audits by the Company's representative(s) shall be borne by the Company unless if, as a result of that audit, the Repairer is found to be in Default, in which cases the cost of such audit will be borne by the Repairer."", 'Company shall have the right, under EUR OPS or PART M equivalent applicable regulation approval, to audit the management and the performance of the Services provided by the Repairer under this Agreement, subject to giving a [*****] prior Notice to the Repairer.', 'Inventory of the Stock: the Repairer or any representative it designates shall have the right to inspect the Stock and to audit any records relating thereto at any reasonable time upon giving prior Notice to the Company, which shall provide full access to such Stock to enable the Repairer to conduct periodic inventory inspections and/or any audit of the Stock.', 'The Repairer or its agent shall have the right to inspect the Advanced Pool Stock and to audit any records relating thereto at any reasonable time upon giving prior written notice to the Company.', 'The Company shall provide full access to enable the Repairer to conduct periodic inventory inspection of the Advanced Pool Stock.']",Audit Rights
220,220,NA,NA,"[""Subject to the terms of this Agreement, subject to Manufacturer meeting EMV's requirements for quality, price and lead- time, EMV hereby grants Manufacturer an exclusive, non-transferable, license (without the right to sublicense) under EMV's Proprietary Rights in the Territory, during the term of this Agreement, to copy the EMV firmware as may be provided by EMV from time to time onto Product units in the manufacturing process at each EMV-approved Manufacturer manufacturing facility."", ""Subject to the terms of this Agreement, subject to Manufacturer meeting EMV's requirements for quality, price and lead- time, EMV hereby grants Manufacturer an exclusive, non-transferable, license (without the right to sublicense) under EMV's Proprietary Rights in the Territory, during the term of this Agreement, to use the Specifications solely for the purpose of manufacturing the Products to fulfil Purchase Orders for EMV."", 'Except as expressly provided in this Agreement, EMV does not grant any right to Manufacturer to (a) use, copy, or display (except for promotional purposes) the Products; (b) assign, sublicense, or otherwise transfer its rights or delegate its obligations under this Agreement or any of the rights, licenses, Products, or materials to which it applies; or (c) modify, amend, alter or otherwise vary the Products.']",Non-Transferable License
221,221,NA,NA,"['In connection with the foregoing appointment, Supplier hereby grants Reseller a non-transferable, revocable, limited right to resell, market, promote, stimulate interest in, and solicit Orders by Customers and/or End Users in the Territory for the Products and to provide services in connection with those activities.']",Non-Transferable License
222,222,NA,NA,"[""EXCEPT FOR LIABILITY ARISING UNDER SECTIONS 2.7, 8, 10 AND 12.3 OF THIS          AGREEMENT, IN NO EVENT SHALL EITHER PARTY'S LIABILITY ARISING OUT OF OR          RELATED TO THIS AGREEMENT OR THE USE OR PERFORMANCE OF THE SOFTWARE          EXCEED THE TOTAL AMOUNT ACTUALLY PAID BY CORIO HEREUNDER FOR THE          TRANSACTION WHICH THE LIABILITY RELATES TO DURING THE TWELVE (12)          MONTHS IMMEDIATELY PRIOR TO THE CAUSE OF<omitted>ACTION FIRST ARISING, EVEN IF IT IS A CONTINUOUS ONE, OR IN THE          AGGREGATE, WITH RESPECT OF ALL CLAIMS ARISING OUT OF OR RELATED TO          THIS AGREEMENT, THE TOTAL AMOUNT ACTUALLY PAID BY CORIO UNDER THIS          AGREEMENT TO CHANGEPOINT."", 'EXCEPT FOR LIABILITY ARISING UNDER          SECTIONS 2.7, 8, 10 AND 12.3 OF THIS AGREEMENT, IN NO EVENT SHALL          EITHER PARTY HAVE ANY LIABILITY TO THE OTHER PARTY FOR ANY LOST          PROFITS OR COSTS OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, OR          FOR ANY INDIRECT, INCIDENTIAL, SPECIAL OR CONSEQUENTIAL DAMAGES          HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY AND WHETHER OR NOT          SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.']",Uncapped Liability
223,223,NA,NA,"[""Upon the License Option Exercise Closing Date, Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie:\n\n(a) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license (or sublicense), with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know-How, to Exploit the Licensed Compounds and Licensed Products in the Field in the Territory;\n\n(b) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license and right of reference, with the right to grant sublicenses and further rights of reference in accordance with Section 5.3, under the Regulatory Approvals and any other Regulatory Documentation that Harpoon or its Affiliates may Control with respect to the Licensed Compounds or Licensed Products solely for purposes of Exploiting the Licensed Compounds and Licensed Products in the Field in the Territory."", ""Upon the [***], Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie a co-exclusive (with Harpoon), royalty-free (subject to [***] [***]) license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know- How, to Develop and Manufacture the Licensed Compounds and Licensed Products solely to the extent necessary for AbbVie to perform [***]."", 'Upon the Effective Date, Harpoon hereby grants to AbbVie the exclusive right, but not the obligation, to obtain the licenses set forth in Section 5.1.3 (the ""License Option"").', ""Effective upon the date that AbbVie commences performing Initial Development Activities pursuant to Section 3.1.2, Harpoon (on behalf of itself and its Affiliates) shall grant and hereby grants AbbVie a co- exclusive (with Harpoon), royalty-free license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know-How, solely to the extent necessary for AbbVie to conduct Initial Development Activities assumed by AbbVie in accordance with Section 3.1.2 (if any).""]",Exclusivity
224,224,NA,NA,"['All books and records of every kind and character, of      the Joint Venture, and other information, shall be kept at the principal      office of the Joint Venture, or at such other place or places as may be      agreed upon by the Joint Venturers, and shall be fully available to each      Joint Venturer or his duly authorized representative, all at reasonable      times.', 'If requested      by a Joint Venturer, the Joint Venture books and records shall be audited      as of the close of each year by an independent accountant acceptable to      both Joint Venturers.']",Audit Rights
225,225,NA,NA,['The      spinwares  and  spinstore  will be  modified  to include  licensed  content      purchased directly from Spinrecords.com and to eliminate products that will      compete with the Nettaxi store.'],Non-Compete
226,226,NA,NA,"['In addition, if BI has exercised its first right of negotiation in Section 5.2.2.a, XENCOR hereby grants and will make an eventual Business Partner do so, BII a first right to negotiate to manufacture and supply commercial Product as Principal Supplier for a period up to the [...***...], starting with the first commercial launch of the Product.', 'If BII provides written notice of its exercise of the first right to negotiate within such [...***...] period but BII and XENCOR (or its Business Partner) do not enter into such a contract manufacturing agreement within the Clinical Negotiation Period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply of Product for use in Phase 2 and 3 clinical trials (which may include an agreement for any Business Partner or its affiliate to manufacture and supply Product for clinical trials), provided that the supply price for Product is no more than [...***...] percent ([...***...]%) of the clinical supply price of Product last proposed by BII during the negotiations between the Parties (or BII and the Business Partner).', ""In the event that BII elects not to exercise its first right of negotiation described in Section 5.2.2.a or 5.2.2.b, or, despite their commercially reasonably efforts and good faith negotiations the Parties (or BII and the Business Partner) are unable to agree upon a manufacturing agreement within the Clinical Negotiation Period or, Commercial Negotiation Period, as applicable; and/or XENCOR (and/or XENCOR's Business Partner) wishes to use the Process outside the terms and conditions set forth in a contract manufacturing agreement with BII, BII shall transfer the Process in accordance with Section 5.2.3 below."", 'XENCOR shall provide BII written notice (i) of the completion of the Phase 1 clinical trials of the Product, which notice shall include reasonable documentation of the results of such Phase 1 clinical trials of the Product or (ii) that XENCOR has entered into an agreement with at least one Business Partner, whichever of (i) and (ii) occurs earlier.', 'If the supply price for Product proposed by a third party (which may include a Business Partner or its affiliate) is more than [...***...] percent ([...***...]%) of the commercial supply price of Product last proposed by BII during the negotiations between the Parties (or BII and the Business Partner), XENCOR (or its Business Partner) shall provide written notice to BII that XENCOR (and its Business Partner) will accept the commercial supply price last proposed by BII, and BII and XENCOR (or its Business Partner) will enter into a contract manufacturing agreement reflecting such commercial supply price; provided that, if BII does not agree to enter into such contract manufacturing agreement within [...***...] after such written notice, XENCOR (or its Business Partner) shall be free to enter into an agreement with a third party (which may include an agreement for any Business Partner or its affiliate to manufacture and supply Product).', 'If the supply price for Product proposed by a third party (which may include a Business Partner or its affiliate) is more than [...***...] percent ([...***...]%) of the clinical supply price of Product last proposed by BII during the negotiations between the Parties (or BII and the Business Partner) , XENCOR (or its Business Partner) shall provide written notice to BII that XENCOR (and its Business Partner) will accept the clinical supply price last proposed by BII, and BII and XENCOR (or its Business Partner) will enter into a contract manufacturing agreement reflecting such clinical supply price; provided that, if BII does not agree to enter into such contract<omitted>manufacturing agreement within [...***...] after such written notice, XENCOR (or its Business Partner) shall be free to enter into an agreement with a third party (or an agreement for the Business Partner or its affiliate to manufacture and supply Product).', 'If BII does not provide written notice of its exercise of the first right to negotiate within such [...***...] period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply of commercial Product (which may include an agreement for any Business Partner or its affiliate to manufacture and supply commercial Product).', 'If BII provides written notice of its exercise of the first right to negotiate within such [...***...] period but BII and XENCOR (or its Business Partner) do not enter into such a contract manufacturing agreement within the Commercial Negotiation Period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply, of commercial Product (which may include an agreement for any Business Partner or its affiliate to manufacture and supply commercial Product); provided that the supply price for Product is no more than [...***...] percent ([...***...]%) of the commercial supply price of Product last proposed by BII during the negotiations between the Parties (or BII and the Business Partner).', 'If BII does not provide written notice of its exercise of the first right to negotiate within such [...***...] period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply of Product for use in Phase 2 and 3 clinical trials', ""In addition, no Technology Access Fee shall be due or payable in connection with XENCOR's election to use or have used (e.g. by a Business Partner) the Process if (i) BII does not exercise its first right to negotiate under either Section 5.2.2.a or 5.2.2.b, (ii) BII exercises its first right to negotiate but demands a supply price for clinical/commercial supply of Product that exceeds the bid price for the clinical/ commercial supply of Product of a comparable quantity and quality by a third party biopharmaceutical CMO of comparable size and respective activities to BII and with registered headquarters in the Major Territories, or (iii) XENCOR (or its Business Partner) has entered into a contract manufacturing agreement with BII, but BII is not able to supply XENCOR and its Business Partners [...***...] of the Product required."", 'The rights set forth in Section 5.2.2.a and b shall automatically terminate if BII does not produce a viable Process for manufacture of Product as evidenced by failure to produce cGMP Product within a timeframe reasonably and customary in the biopharmaceutical industry for companies of comparable size and the respective activities.', 'If BII provides XENCOR written notice of its exercise of the first right to negotiate within [...***...] after receipt of such written notice from XENCOR, then for a period of [...***...] following such written notice, or such longer period as agreed in writing by BII and XENCOR (or its Business Partner) (the ""Commercial Negotiation Period""), XENCOR (or its Business Partner) and BII will negotiate in good faith an agreement for the manufacture and supply of commercial Product as Principal Supplier, at market rate terms and conditions common for the contract manufacture of monoclonal antibodies within the contract manufacturing industry to be mutually agreed in writing by the Parties.', 'The right set forth in Section 5.2.2.b shall automatically terminate if BII does not exercise the first right of negotiation set forth in Section 5.2.2.a.', 'In both cases set forth above, in Section 5.2.2.a. and b., if BII exercises its first right of negotiation, BII and XENCOR (and/or its Business Partner, as applicable) will negotiate in good faith a respective contract manufacturing agreement based on the market rate<omitted>terms and conditions common for the contract manufacture of monoclonal antibodies within the contract manufacturing industry, it being understood that any such contract manufacturing agreement would provide for Technology transfer, payment of the Technology Access Fee (if applicable), and other terms set forth in Sections 5.2.3, 5.2.4 and 5.2.5 below.', 'XENCOR shall provide BII written notice (i) of the decision to have the Product manufactured at a commercial scale and to launch the Product commercially or (ii) that XENCOR has entered into an agreement with at least one Business Partner, whichever of (i) and (ii) occurs earlier.', 'XENCOR hereby grants and will make an eventual Business Partner do so, BII a first right to negotiate to manufacture and supply Product for use in Phase 2 and 3 clinical trials.', ""All of BII's rights of negotiation set forth in this Secti6n 5.2.2 shall terminate upon payment of the Technology Access Fee by XENCOR."", 'If BII provides XENCOR written notice of its exercise of the first right to negotiate within [...***...] after receipt of such written notice from XENCOR, then for a period of [...***...] following such written notice from BII or such longer period as agreed in writing by BII and XENCOR (or its Business Partner) (the ""Clinical Negotiation Period""), XENCOR (or its Business Partner) and BII will negotiate in good faith an agreement for the manufacture and supply of Product for use in Phase 2 and 3 clinical trials, at market rate terms and conditions common for the contract manufacture of monoclonal antibodies within the contract manufacturing industry, to be mutually agreed in writing by the Parties.']",Rofr/Rofo/Rofn
227,227,NA,NA,"['At all times during the Term and for six (6) months following the termination of this Agreement, WYZZ shall have the right, upon prior written request to Nexstar, to review all of the books and records of Nexstar relating to the BCF Report and the Distributions.']",Audit Rights
228,228,NA,NA,"[""Notwithstanding the foregoing, for each end user that previously downloaded a Zynga game that includes WPT's Licensed Property, and stored such Zynga game within such end user's device, WPT grants a license and right to continue to use, activate, operate, perform, store, use and display that game on the end user's device in perpetuity at no additional charge; provided, however, that Zynga shall use best efforts to offer end users updates to its games which no longer include WPT's Licensed Property after the Term."", 'Notwithstanding any termination of this Agreement, any Approved Content that includes Zynga\'s Licensed Property may remain in perpetuity in any media in which such Licensed Property was integrated into during the Term (e.g., televised WPT Tournaments or WPT Invitational Tournaments, social media posts, repurposed integrations for ""best of"" television programs) or for historical purposes (e.g., reference on WPT\'s website that Zynga-sponsored tour events took place as part of the tour).']",Irrevocable Or Perpetual License
229,229,NA,NA,"['Company agrees that it will not file, during the Contract Period or afterward, any application for trademark registration or otherwise obtain or attempt to obtain ownership of any trademark or trade name within the Contract Territory or in any other country of the world which consists of the NFLA Identification or any mark, design or logo intended to obtain any rights to the name of the NFLA or to identify products as being endorsed b the NFLA.']",Covenant Not To Sue
230,230,NA,NA,"[""At the expiration of the ninety (90)-day period, Affiliate's right of first refusal shall expire."", 'If, during said ninety (90)-day period, Affiliate notifies Network in writing of its desire to add the New Channels to this Agreement, then both parties shall work diligently together and in good faith to enter into an agreement within ninety (90) days of such notice to include the terms and conditions pursuant to which the New Channels may be distributed by Affiliate.', 'In the event Network decides to offer any new television programming channels (the ""New Channels""), then Affiliate shall have ninety (90) calendar days from Affiliate\'s receipt of Network\'s comprehensive business plan for such New Channels to determine whether Affiliate desires to enter into an agreement with respect to the New Channels.', 'If, having used good faith diligent efforts, Affiliate and Network have failed to enter into such an agreement within such ninety (90)-day period, then neither party shall have an obligation to continue such negotiations or enter into an agreement with respect to the New Channels.']",Rofr/Rofo/Rofn
231,231,NA,NA,"['Sections 2(a), 2(b), 2(c), 2(d), 3, and 11 shall survive the expiration or termination of this Agreement: (i) in perpetuity with respect to Titles for which the licenses granted in Section 2(a) are perpetual; and (ii) for the duration of the applicable license term specified in Schedule A with respect to Titles for which the license term specified in Schedule A extends beyond the expiration or termination of this Agreement.', ""In exchange for the Share Consideration, Licensor hereby grants to Licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration for which Licensor has the rights to each Title as specified in Schedule A1-A5 of Schedule A) to:   i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each Title within the Territory in any language by VOD (including SVOD, TVOD, AVOD and free VOD) for Internet, TV and mobile platforms (including, but not limited to, OTT streaming services, Sites and Mobile Sites), except that for Titles listed in Schedule A1-A2 of Schedule A, Licensor can only grant Licensee distribution rights to up to six (6) MSOs plus two (2) of China's Internet TV license holders or their OTT Internet- based video partners by VOD (including SVOD, TVOD, AVOD and free VOD).""]",Irrevocable Or Perpetual License
232,232,NA,NA,"[""Upon TPH-A's or TPH's exercise of the Call Option, AFSL/FSL shall be obliged to sell, or cause the holder of the Call Shares to sell, the Call Shares to TPH-A or its designee in accordance with this Section 9.2. For the avoidance of doubt, the Call Option is the right of TPH-A and TPH-A is not obliged to exercise the Call Option."", 'Completion of the sale and purchase of the Put Shares pursuant to the exercise of the Put Option by AFSL/FSL shall take place on the date specified in the Put Exercise Notice (which shall be a date after at least sixty (60) days from the date of the Put Exercise Notice) (the ""Put Closing Date"") and on which date:\n\n(i) TPH-A shall, or shall cause its designees to, and TPH shall cause TPH-A or TPH-A\'s designees to, pay to AFSL the Put Option Price for the Put Shares by way of a bank transfer to the bank account as separately designated by AFSL; and\n\n(ii) in exchange for which, AFSL shall deliver to TPH-A or its designees duly executed a letter of request to enter in the shareholder register of the Company the information that is required to be registered with regard to the Put Shares; and', 'The purchase price for the Put Shares (the ""Put Option Price"") shall be the greater of (x) the amount in Japanese Yen equal to the Net Book Value as of the most recently completed month end prior to the Put Closing Date, minus the Net Book Value as of the most recently completed month end prior to the Effective Date, multiplied by the number of Put Shares, or (y) one Japanese Yen (¥1).', 'The purchase price for the Call Shares (the ""Call Option Price"") shall be the greater of (x) the amount in Japanese Yen equal to the Net Book Value as of the most recently completed month end prior to the Call Closing Date, minus the Net Book Value as of the most recently completed month end prior to the Effective Date, multiplied by the number of Call Shares, or (y) one Japanese Yen (¥1).', 'As longs as AFSL and FSL are not in material and continuing breach of this Agreement or the Ancillary Agreements, FSL or AFSL may trigger the option to sell the Put Shares to TPH-A or its designee (the ""Put Option"") by providing a written notice of the exercise of the Put Option (the ""Put Exercise Notice"") simultaneously to the Company, TPH and TPH-A, which notice states (i) such Party\'s bona fide intention to exercise the Put Option, and (ii) the date on which such Party intends that the Put Closing Date occur.', 'Completion of the sale and purchase of the Call Shares pursuant to the exercise of the Call Option by TPH- A/TPH shall take place on the date specified in the Call Exercise Notice (which shall be a date after at least sixty (60) days from the date of the Call Exercise Notice) (the ""Call Closing Date"") and on which date:\n\n(i) TPH-A shall, or shall cause its designees to, and TPH shall cause TPH-A or TPH-A\'s designees to, pay to AFSL the Call Option Price for the Call Shares by way of a bank transfer to the bank account as separately designated by AFSL; and\n\n(ii) in exchange for which, AFSL shall deliver to TPH-A or its designees duly executed a letter of request to enter in the shareholder register of the Company the information that is required to be registered with regard to the Call Shares.', 'FSL or AFSL may not exercise the Put Option for less than one hundred percent (100%) of the Shares held by both FSL and AFSL or any Affiliate of FSL or AFSL, as the case may be.', ""At TPH's sole option, TPH or TPH-A may purchase the GaN Equipment by completion of payment of the purchase price or depreciation cost for such equipment as set forth in Appendix 2."", ""If, after the Effective Date, FSL or AFSL shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after the Default Notice has been given by TPH-A to FSL/AFSL, then TPH-A shall have the option of purchasing from AFSL, and AFSL shall be obligated to sell, all of the Shares then owned by AFSL at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (¥1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. TPH-A shall provide the Election Notice to purchase the Shares owned by AFSL within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by AFSL shall take place within thirty (30) Business Days following the date of the Election Notice, or at such other time as the Parties may mutually agree. At such closing, TPH-A shall deliver to AFSL, by wire transfer, the full amount of the purchase price in Japanese Yen for such Shares as provided in this Section 7.5.2 against delivery by AFSL of the following: (a) a sale agreement in form reasonably satisfactory to TPH-A containing among other things, a representation and warranty of AFSL that it is, and TPH-A shall be, the beneficial owner of such Shares, with good title thereto, free and clear of all liens and other encumbrances; (b) documentary evidence reasonably satisfactory to TPH-A of the transfer to it of all of AFSL's Shares and (c) resignations of all Directors, if any, on the Board appointed by AFSL. Notwithstanding the remedies provided in this Section 7.5.2, TPH/TPH-A shall be entitled to all other remedies against FSL/AFSL available at law or equity or under this Agreement."", 'AFSL and TPH-A shall cause the Board to approve the share transfer of the Call Shares on or prior to the Call Closing Date.', 'TPH or TPH-A may not exercise the Call Option for less than one hundred percent (100%) of the Shares held by both FSL and AFSL or any Affiliate of FSL or AFSL, as the case may be.', ""Upon FSL's or AFSL's exercise of the Put Option, TPH-A shall be obliged to purchase or cause TPH-A's designees to purchase, and TPH shall be obliged to cause TPH-A or TPH-A's designees to purchase, the Put Shares in accordance with this Section 9.1. For the avoidance of doubt, the Put Option is the right of AFSL/FSL, and AFSL/FSL is not obliged to exercise the Put Option."", 'TPH-A and TPH may not exercise the Call Option prior to the Option Starting Date nor more than one hundred eighty (180) days after the Option Starting Date.', ""Each Party's obligation to complete the Put Option or Call Option at the Put Closing Date or Call Closing Date, as applicable, is subject to the fulfillment on or before such Put Closing Date or Call Closing Date of each of the following conditions, unless waived in writing (where permissible) by the applicable party in such closing:"", 'If, after the Effective Date, TPH or TPH-A shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after written notice thereof (the ""Default Notice"") has been given by AFSL to TPH/TPH-A, then AFSL shall have the option of purchasing from TPH-A, and TPH-A shall be obligated to sell, all of the Shares then owned by TPH-A at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (¥1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. AFSL shall provide written notice of its election (the ""Election Notice"") to purchase the Shares owned by TPH-A within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by TPH-A<omitted>shall take place within thirty (30) Business Days following the date of the Election Notice, or at such other time as the Parties may mutually agree. At such closing, AFSL shall deliver to TPH-A, by wire transfer, the full amount of the purchase price in Japanese Yen for such Shares as provided in this Section 7.5.1 against delivery by TPH-A of the following: (a) a sale agreement in form reasonably satisfactory to AFSL containing among other things, a representation and warranty of TPH-A that it is, and AFSL shall be, the beneficial owner of such Shares, with good title thereto, free and clear of all liens and other encumbrances; (b) documentary evidence reasonably satisfactory to AFSL of the transfer to it of all of TPH-A\'s Shares and (c) resignations of all Directors, if any, on the Board appointed by TPH-A. Notwithstanding the remedies provided in this Section 7.5.1, AFSL/FSL shall be entitled to all other remedies against TPH/TPH-A available at law or equity or under this Agreement.', 'As longs as TPH-A and TPH are not in material and continuing breach of this Agreement or the Ancillary Agreements, TPH-A or TPH may trigger the option to purchase the Call Shares (the ""Call Option"") by providing a written notice of the exercise of the Call Option (the ""Call Exercise Notice"") simultaneously to the Company, FSL and AFSL, which notice states (i) such Party\'s bona fide intention to exercise the Call Option, and (ii) the date on which such Party intends that the Call Closing Date occur.', 'FSL and AFSL may not exercise the Put Option prior to the Option Starting Date nor more than one hundred eighty (180) days after the Option Starting Date.', 'AFSL and TPH-A shall cause the Board to approve the share transfer of the Put Shares on or prior to the Put Closing Date.']",Rofr/Rofo/Rofn
233,233,NA,NA,"[""By electing not to participate in any Completion attempt, or being deemed not to participate in any Completion attempt, Company shall be deemed to have relinquished to BP, and BP shall own and be entitled to receive, all of Company's interest in the Initial Well and share of production therefrom until the proceeds of the sale of such share, calculated at the well, or market value thereof if such share is not sold (after deducting applicable ad valorem, production, severance, windfall profits, and excise taxes, royalty, overriding royalty and other interests payable out of or measured by the production from the Initial Well accruing with respect to such interest until it reverts), shall equal the total of the following:\n\n  (A) twenty six and one-quarter percent (26.25%) of the Completion Costs associated with the Initial Well and twenty six and one-quarter percent (26.25%) of the cost of any newly acquired surface equipment beyond the wellhead connections (including but not limited to stock tanks, separators, treaters, pumping equipment, piping and metering devices) (i.e., 300% non-consent penalty on a non-promoted basis); and\n\n  (B) eight and three quarters percent (8.75%) of the cost of operation of the Initial Well commencing with first production and continuing until Company's interest shall revert to it in accordance with this Section 2.4 (i.e., 100% non-consent penalty on a non-promoted basis).""]",Liquidated Damages
234,234,NA,NA,['INITIAL ORDER COMMITMENT - MA commits to purchase a minimum of 100 Units in aggregate within the Territory within the first six months of term of this Agreement.'],Minimum Commitment
235,235,NA,NA,"[""Therefore,      the parties have agreed upon the above payment of liquidated damages in      lieu of WGT's claim for actual damages from such breach."", 'Distributor shall pay WGT fifty percent (50%) of the unpaid      balance of cumulative Guaranteed Minimum Purchase amounts as liquidated      damages.']",Liquidated Damages
